date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:31	91645/91645	---M--	200	added ('OK')	image/jpeg	etag:%228ded5c47d5b1bb64524a6001f498fd0e%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/cloud-0d708c8fc5fd76d5ff5babcde55dc0b1.jpg	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/cloud-0d708c8fc5fd76d5ff5babcde55dc0b1.jpg	(from https://axieinfinity.com/)
01:02:31	9192/9192	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:49:10%20GMT	https://axieinfinity.com/land/	C:/Mis%20lugares%20Web/axie2/axieinfinity.com/land/index.html	(from https://axieinfinity.com/)
01:02:32	15371/15371	---M-Z	200	added ('OK')	image/png	etag:%227b5a2ff39d6fbdb62e2394500c7ed81b%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/ubisoft-c16028046e24dd7f56dfe95cd8c533cb.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/ubisoft-c16028046e24dd7f56dfe95cd8c533cb.png	(from https://axieinfinity.com/)
01:02:32	14265/14265	---M-Z	200	added ('OK')	image/png	etag:%223f385d7d28c9eb9bc1c7d9e70e1d2d5c%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/aave-ee4420085af3f3b9c6ccd9f80af19b39.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/aave-ee4420085af3f3b9c6ccd9f80af19b39.png	(from https://axieinfinity.com/)
01:02:32	13556/13556	---M-Z	200	added ('OK')	image/png	etag:%229b8a50a3b41c1f4b5236f39b4471d528%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/binance-76b4a0bb0f2ee3aacd28f192f0797d2e.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/binance-76b4a0bb0f2ee3aacd28f192f0797d2e.png	(from https://axieinfinity.com/)
01:02:32	2385297/2385297	---M-Z	200	added ('OK')	image/png	etag:%2299c0b16ab34ffda2973f5f60cde89bf9%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/scroll-663a1f21776613e7cb0162d91ef76656.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/scroll-663a1f21776613e7cb0162d91ef76656.png	(from https://axieinfinity.com/)
01:02:32	18598/18598	---M-Z	200	added ('OK')	image/png	etag:%226f1616f2f3cf632212268ac579c26096%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/samsung-352f2d7a6891527e924596da818f0f37.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/samsung-352f2d7a6891527e924596da818f0f37.png	(from https://axieinfinity.com/)
01:02:33	19259/19259	---M-Z	200	added ('OK')	image/png	etag:%220b258fa3a1ff26cd2e3d349ebbf8c59f%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/delphi-35bf48eff7903a1c6cde71ab915240cc.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/delphi-35bf48eff7903a1c6cde71ab915240cc.png	(from https://axieinfinity.com/)
01:02:33	17996/17996	---M-Z	200	added ('OK')	image/png	etag:%22bc6154381c1ba73bb11ff81368c3f0e1%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/kyber-e0f902120de8c4d56049428aae68a33b.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/kyber-e0f902120de8c4d56049428aae68a33b.png	(from https://axieinfinity.com/)
01:02:33	28395/28395	---M-Z	200	added ('OK')	image/png	etag:%22ada760a5f5ddbbfd72dfaafd1962c5bb%22	https://cdn.axieinfinity.com/landing-page/_next/static/images/maker-9ee465283db3e0f8b05ce53a1a92281f.png	C:/Mis%20lugares%20Web/axie2/cdn.axieinfinity.com/landing-page/_next/static/images/maker-9ee465283db3e0f8b05ce53a1a92281f.png	(from https://axieinfinity.com/)
